"1";"Адыгея респ.";"4";"23";"Адыгея респ.";;
"10";"Карелия респ.";"7";"29,35,47,51";"Карелия респ.";;
"11";"Коми респ.";"10";"29,43,59,66,72";"Коми респ.";;
"12";"Марий Эл респ.";"7";"43,52,16,21";"Марий Эл респ.";;
"13";"Мордовия респ.";"9";"52,58,62,73,21";"Мордовия респ.";;
"14";"Саха (Якутия) респ.";"9";"75,38,24";"Саха (Якутия) респ.";"28,49,27,87";
"15";"Северная Осетия респ.";"7";"6,7,26,20";"Северная Осетия респ.";;
"16";"Татарстан респ.";"38";"2,43,12,56,63,18,73,21";"Татарстан респ.";;
"17";"Тыва (Тува) респ.";"3";"4,3,38,24,19";"Тыва (Тува) респ.";;
"18";"Удмуртская респ.";"15";"2,43,59,16";"Удмуртская респ.";;
"19";"Хакасия респ.";"5";"4,42,24,17";"Хакасия респ.";;
"2";"Башкортостан респ.";"41";"56,59,66,16,18,74";"Башкортостан респ.";;
"20";"Чеченская респ.";"12";"15,5,6,26";"Чеченская респ.";;
"21";"Чувашская респ.";"13";"12,13,52,16,73";"Чувашская респ.";;
"22";"Алтайский край";"25";"4,42,54";"Алтайский край";;
"23";"Краснодарский край";"51";"1,82,9,61,26";"Краснодарский край";;
"24";"Красноярский край";"30";"38,42,70,17,72,19,14";"Красноярский край";;
"25";"Приморский край";"20";;"Приморский край";"65,27";
"26";"Ставропольский край";"27";"15,5,7,8,9,23,61,20";"Ставропольский край";;
"27";"Хабаровский край";"14";;"Хабаровский край";"28,79,49,25,65,14";
"28";"Амурская обл.";"9";75;"Амурская обл.";"79,27,14";
"29";"Архангельская обл.";"13";"35,10,43,11,72";"Архангельская обл. (в т.ч. Ненецкий АО)";;"83"
"3";"Бурятия респ.";"10";"75,38,17";"Бурятия респ.";;
"30";"Астраханская обл.";"10";"34,8";"Астраханская обл.";;
"31";"Белгородская обл.";"15";"36,46";"Белгородская обл.";;
"32";"Брянская обл.";"13";"40,46,57,67";"Брянская обл.";;
"33";"Владимирская обл.";"15";"37,50,52,62,76";"Владимирская обл.";;
"34";"Волгоградская обл.";"26";"30,36,8,61,64";"Волгоградская обл.";;
"35";"Вологодская обл.";"12";"29,10,43,44,47,53,69,76";"Вологодская обл.";;
"36";"Воронежская обл.";"23";"31,34,46,48,61,64,68";"Воронежская обл.";;
"37";"Ивановская обл.";"11";"33,44,52,76";"Ивановская обл.";;
"38";"Иркутская обл.";"27";"3,75,24,17,14";"Иркутская обл.";;
